accion,threads,tiempo
Máximo,11,0.627700
Máximo,11,0.410200
Máximo,11,0.754400
Máximo,11,0.433400
Máximo,11,0.784300
Máximo,11,0.457000
Máximo,11,0.741900
Máximo,11,0.481700
Máximo,12,0.659400
Máximo,12,0.449200
Máximo,12,0.629500
Máximo,12,0.486600
Máximo,12,0.639500
Máximo,12,0.434400
Máximo,12,0.721900
Máximo,12,0.465100
Máximo,12,0.625100
Máximo,12,0.587100
Máximo,12,0.760500
Máximo,12,0.674000
Máximo,12,0.635900
Máximo,12,0.452000
Máximo,12,0.702800
Máximo,12,0.474500
Máximo,12,0.676700
Máximo,12,0.474400
Máximo,12,0.643100
Máximo,12,0.497500
Máximo,12,0.668700
Máximo,12,0.432700
Máximo,12,0.716400
Máximo,12,0.594800
Máximo,12,0.681200
Máximo,12,0.455600
Máximo,12,0.737600
Máximo,12,0.460000
Máximo,12,0.635800
Máximo,12,0.443000
Máximo,12,0.693100
Máximo,12,0.563000
Máximo,12,0.639500
Máximo,12,0.462900
Máximo,12,0.641700
Máximo,12,0.464800
Máximo,12,0.629800
Máximo,12,0.449800
Máximo,12,0.703800
Máximo,12,0.536800
Máximo,12,0.647900
Máximo,12,0.454800
Máximo,12,0.639600
Máximo,12,0.518500
Máximo,12,0.679600
Máximo,12,0.446600
Máximo,12,0.640400
Máximo,12,0.463000
Máximo,12,0.644400
Máximo,12,0.564900
Máximo,12,0.667500
Máximo,12,0.499400
Máximo,12,0.776100
Máximo,12,0.447100
Máximo,12,0.650500
Máximo,12,0.474100
Máximo,12,0.665900
Máximo,12,0.441900
Máximo,12,0.657300
Máximo,12,0.468300
Máximo,12,0.643300
